sample_id,isotope,ref_bq,calc_bq,ratio,diff_pct
Cu-RAFM-1,Cu64,3.172380e+06,3.172380e+06,1.000000,0.000
Co-Cd-RAFM-1 @25cm,Co60,2.349500e+02,2.349500e+02,1.000000,0.000
Co-RAFM-1 @ 25cm,Co60,2.035000e+03,2.035000e+03,1.000000,0.000
In-Cd-RAFM-1_25cm,In114m,2.197060e+05,2.197060e+05,1.000000,0.000
In-Cd-RAFM-1_25cm,In115m,1.198800e+04,1.198800e+04,1.000000,0.000
Ni-RAFM-1 @ 25cm,Co58,4.588000e+04,4.588000e+04,1.000000,0.000
Sc-Cd-RAFM-1 @ 25cm,Sc46,1.590630e+05,1.590630e+05,1.000000,0.000
Sc-RAFM-1 @ 25cm,Sc46,1.607650e+06,1.607650e+06,1.000000,0.000
Ti-RAFM-1 @25cm,Sc47,2.271800e+03,2.271800e+03,1.000000,0.000
Ti-RAFM-1 @25cm,Sc48,1.568800e+04,1.568800e+04,1.000000,0.000
Ti-RAFM-1 @25cm,Sc46,4.736000e+02,4.736000e+02,1.000000,0.000
Ti-RAFM-1a @25cm,Sc47,2.282900e+03,2.282900e+03,1.000000,0.000
Ti-RAFM-1a @25cm,Sc48,1.509600e+04,1.509600e+04,1.000000,0.000
Ti-RAFM-1a @25cm,Sc46,4.847000e+02,4.847000e+02,1.000000,0.000
Ti-RAFM-1 48hr @25cm,Sc47,1.605800e+03,1.605800e+03,1.000000,0.000
Ti-RAFM-1 48hr @25cm,Sc48,8.658000e+03,8.658000e+03,1.000000,0.000
Ti-RAFM-1 48hr @25cm,Sc46,4.662000e+02,4.662000e+02,1.000000,0.000
