folder_bucket,path,line_count,review_status,suggested_action,accuracy_risk,duplicate_findings,required_tests_before,required_tests_after
.github,.github/workflows/create-issues-from-md.yml,91,baseline-captured,keep,medium,none flagged yet,relevant targeted tests,relevant targeted tests
.github,.github/workflows/quality-checks.yml,161,baseline-captured,keep,medium,none flagged yet,relevant targeted tests,relevant targeted tests
README.md,README.md,72,baseline-captured,keep,low,none flagged yet,relevant targeted tests,relevant targeted tests
docs,docs/ASTM_standards/ASTM_Implementation_Plan.md,59,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/ASTM_standards/astm_e261_workflow.md,148,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/FLUXFORGE_CONSOLIDATED_MASTER.md,1226,baseline-captured,refactor,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/GUI_CAPABILITY_PROGRAM.md,92,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/GUI_PLAN.md,573,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/PR_DRAFT_warning_fix_native_gui.md,42,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/archive/capability_gap_analysis.md,262,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/archive/legacy_plans/experimental_results_summary.md,225,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/archive/legacy_plans/fluxforge_inl_peak_roi_activity_requirements.md,838,baseline-captured,refactor,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/archive/legacy_plans/gui_feature_mapping.md,90,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/archive/legacy_plans/k0_workflow.md,118,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/archive/legacy_plans/rafm_parity_and_standards_dev_notes.md,137,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/archive/legacy_plans/standards_workflow_matrix.md,144,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/archive/legacy_plans/testing_gui_survey.md,103,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/archive/legacy_plans/testing_repo_capability_matrix.md,119,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/archive/master_plan.md,634,baseline-captured,refactor,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/archive/recovery/2026-03-17/app_recovered.py,1,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/archive/recovery/2026-03-17/app_recovered_311.py,1,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/archive/recovery/2026-03-17/app_recovered_39.py,1,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/archive/roadmap.md,272,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/literature/peakeasy_capabilities_and_algorithms_for_fluxforge.md,683,baseline-captured,refactor,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/theory/methods_and_analysis.md,17,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/tutorials/0_quick_start.md,355,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/tutorials/1_getting_started.md,24,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
