cooldown_time_s,count_time_s,expected_dose_uSv,irradiation_time_s,label,objective,objective_score,rank
9645.0,300.0,0.0,1800.0,irr_1800s_cool_9645s_count_300s,bass-d,7653.278807569258,1
9645.0,600.0,0.0,1800.0,irr_1800s_cool_9645s_count_600s,bass-d,7653.278807569258,2
360.0,900.0,0.0,3600.0,irr_3600s_cool_360s_count_900s,bass-d,7653.278807569258,3
97565.0,900.0,0.0,3600.0,irr_3600s_cool_97565s_count_900s,bass-d,7653.278807569258,4
1385628.0,900.0,0.0,3600.0,irr_3600s_cool_1385628s_count_900s,bass-d,7653.278807569258,5
346788.0,900.0,0.0,7200.0,irr_7200s_cool_346788s_count_900s,bass-d,7653.278807569258,6
360.0,300.0,0.0,1800.0,irr_1800s_cool_360s_count_300s,bass-d,7653.278807569256,7
360.0,600.0,0.0,1800.0,irr_1800s_cool_360s_count_600s,bass-d,7653.278807569256,8
360.0,900.0,0.0,1800.0,irr_1800s_cool_360s_count_900s,bass-d,7653.278807569256,9
9645.0,900.0,0.0,1800.0,irr_1800s_cool_9645s_count_900s,bass-d,7653.278807569256,10
346788.0,300.0,0.0,1800.0,irr_1800s_cool_346788s_count_300s,bass-d,7653.278807569256,11
346788.0,600.0,0.0,1800.0,irr_1800s_cool_346788s_count_600s,bass-d,7653.278807569256,12
346788.0,900.0,0.0,1800.0,irr_1800s_cool_346788s_count_900s,bass-d,7653.278807569256,13
1385628.0,300.0,0.0,1800.0,irr_1800s_cool_1385628s_count_300s,bass-d,7653.278807569256,14
1385628.0,600.0,0.0,1800.0,irr_1800s_cool_1385628s_count_600s,bass-d,7653.278807569256,15
1385628.0,900.0,0.0,1800.0,irr_1800s_cool_1385628s_count_900s,bass-d,7653.278807569256,16
360.0,300.0,0.0,3600.0,irr_3600s_cool_360s_count_300s,bass-d,7653.278807569256,17
360.0,600.0,0.0,3600.0,irr_3600s_cool_360s_count_600s,bass-d,7653.278807569256,18
9645.0,300.0,0.0,3600.0,irr_3600s_cool_9645s_count_300s,bass-d,7653.278807569256,19
9645.0,600.0,0.0,3600.0,irr_3600s_cool_9645s_count_600s,bass-d,7653.278807569256,20
9645.0,900.0,0.0,3600.0,irr_3600s_cool_9645s_count_900s,bass-d,7653.278807569256,21
97565.0,300.0,0.0,3600.0,irr_3600s_cool_97565s_count_300s,bass-d,7653.278807569256,22
97565.0,600.0,0.0,3600.0,irr_3600s_cool_97565s_count_600s,bass-d,7653.278807569256,23
346788.0,300.0,0.0,3600.0,irr_3600s_cool_346788s_count_300s,bass-d,7653.278807569256,24
346788.0,600.0,0.0,3600.0,irr_3600s_cool_346788s_count_600s,bass-d,7653.278807569256,25
9645.0,900.0,0.0,7200.0,irr_7200s_cool_9645s_count_900s,bass-d,7653.278807569256,26
346788.0,300.0,0.0,7200.0,irr_7200s_cool_346788s_count_300s,bass-d,7653.278807569256,27
346788.0,600.0,0.0,7200.0,irr_7200s_cool_346788s_count_600s,bass-d,7653.278807569256,28
1385628.0,900.0,0.0,7200.0,irr_7200s_cool_1385628s_count_900s,bass-d,7653.278807569256,29
360.0,900.0,0.0,7200.0,irr_7200s_cool_360s_count_900s,bass-d,7653.278807569255,30
9645.0,300.0,0.0,7200.0,irr_7200s_cool_9645s_count_300s,bass-d,7653.278807569255,31
9645.0,600.0,0.0,7200.0,irr_7200s_cool_9645s_count_600s,bass-d,7653.278807569255,32
97565.0,300.0,0.0,7200.0,irr_7200s_cool_97565s_count_300s,bass-d,7653.278807569255,33
97565.0,600.0,0.0,7200.0,irr_7200s_cool_97565s_count_600s,bass-d,7653.278807569255,34
97565.0,300.0,0.0,1800.0,irr_1800s_cool_97565s_count_300s,bass-d,7653.278807569254,35
97565.0,600.0,0.0,1800.0,irr_1800s_cool_97565s_count_600s,bass-d,7653.278807569254,36
97565.0,900.0,0.0,1800.0,irr_1800s_cool_97565s_count_900s,bass-d,7653.278807569254,37
346788.0,900.0,0.0,3600.0,irr_3600s_cool_346788s_count_900s,bass-d,7653.278807569254,38
1385628.0,300.0,0.0,3600.0,irr_3600s_cool_1385628s_count_300s,bass-d,7653.278807569254,39
1385628.0,600.0,0.0,3600.0,irr_3600s_cool_1385628s_count_600s,bass-d,7653.278807569254,40
360.0,300.0,0.0,7200.0,irr_7200s_cool_360s_count_300s,bass-d,7653.278807569254,41
360.0,600.0,0.0,7200.0,irr_7200s_cool_360s_count_600s,bass-d,7653.278807569254,42
97565.0,900.0,0.0,7200.0,irr_7200s_cool_97565s_count_900s,bass-d,7653.278807569254,43
1385628.0,300.0,0.0,7200.0,irr_7200s_cool_1385628s_count_300s,bass-d,7653.278807569254,44
1385628.0,600.0,0.0,7200.0,irr_7200s_cool_1385628s_count_600s,bass-d,7653.278807569254,45
