cooldown_time_s,count_time_s,irradiation_time_s,label,objective,objective_score,rank
360.0,900.0,7200.0,irr_7200s_cool_360s_count_900s,di-fom,1.6391098400540012e+16,1
9645.0,900.0,7200.0,irr_7200s_cool_9645s_count_900s,di-fom,1.5214159573870412e+16,2
360.0,600.0,7200.0,irr_7200s_cool_360s_count_600s,di-fom,1.0927398933693342e+16,3
9645.0,600.0,7200.0,irr_7200s_cool_9645s_count_600s,di-fom,1.0142773049246944e+16,4
360.0,900.0,3600.0,irr_3600s_cool_360s_count_900s,di-fom,8313946945761927.0,5
9645.0,900.0,3600.0,irr_3600s_cool_9645s_count_900s,di-fom,7716935250061166.0,6
97565.0,900.0,7200.0,irr_7200s_cool_97565s_count_900s,di-fom,7526565345060946.0,7
360.0,600.0,3600.0,irr_3600s_cool_360s_count_600s,di-fom,5542631297174619.0,8
360.0,300.0,7200.0,irr_7200s_cool_360s_count_300s,di-fom,5463699466846671.0,9
9645.0,600.0,3600.0,irr_3600s_cool_9645s_count_600s,di-fom,5144623500040777.0,10
9645.0,300.0,7200.0,irr_7200s_cool_9645s_count_300s,di-fom,5071386524623472.0,11
97565.0,600.0,7200.0,irr_7200s_cool_97565s_count_600s,di-fom,5017710230040630.0,12
360.0,900.0,1800.0,irr_1800s_cool_360s_count_900s,di-fom,4187004162846346.5,13
9645.0,900.0,1800.0,irr_1800s_cool_9645s_count_900s,di-fom,3886331624586364.0,14
97565.0,900.0,3600.0,irr_3600s_cool_97565s_count_900s,di-fom,3817345567869422.0,15
360.0,600.0,1800.0,irr_1800s_cool_360s_count_600s,di-fom,2791336108564231.5,16
360.0,300.0,3600.0,irr_3600s_cool_360s_count_300s,di-fom,2771315648587309.5,17
9645.0,600.0,1800.0,irr_1800s_cool_9645s_count_600s,di-fom,2590887749724243.0,18
9645.0,300.0,3600.0,irr_3600s_cool_9645s_count_300s,di-fom,2572311750020388.5,19
97565.0,600.0,3600.0,irr_3600s_cool_97565s_count_600s,di-fom,2544897045246281.0,20
97565.0,300.0,7200.0,irr_7200s_cool_97565s_count_300s,di-fom,2508855115020315.0,21
97565.0,900.0,1800.0,irr_1800s_cool_97565s_count_900s,di-fom,1922385387939267.8,22
360.0,300.0,1800.0,irr_1800s_cool_360s_count_300s,di-fom,1395668054282115.8,23
9645.0,300.0,1800.0,irr_1800s_cool_9645s_count_300s,di-fom,1295443874862121.5,24
97565.0,600.0,1800.0,irr_1800s_cool_97565s_count_600s,di-fom,1281590258626178.5,25
97565.0,300.0,3600.0,irr_3600s_cool_97565s_count_300s,di-fom,1272448522623140.5,26
346788.0,900.0,7200.0,irr_7200s_cool_346788s_count_900s,di-fom,1073620712041596.5,27
346788.0,600.0,7200.0,irr_7200s_cool_346788s_count_600s,di-fom,715747141361064.4,28
97565.0,300.0,1800.0,irr_1800s_cool_97565s_count_300s,di-fom,640795129313089.2,29
346788.0,900.0,3600.0,irr_3600s_cool_346788s_count_900s,di-fom,544068294973253.56,30
346788.0,600.0,3600.0,irr_3600s_cool_346788s_count_600s,di-fom,362712196648835.7,31
346788.0,300.0,7200.0,irr_7200s_cool_346788s_count_300s,di-fom,357873570680532.2,32
346788.0,900.0,1800.0,irr_1800s_cool_346788s_count_900s,di-fom,273875004403393.78,33
346788.0,600.0,1800.0,irr_1800s_cool_346788s_count_600s,di-fom,182583336268929.22,34
346788.0,300.0,3600.0,irr_3600s_cool_346788s_count_300s,di-fom,181356098324417.84,35
346788.0,300.0,1800.0,irr_1800s_cool_346788s_count_300s,di-fom,91291668134464.61,36
1385628.0,900.0,7200.0,irr_7200s_cool_1385628s_count_900s,di-fom,57185713320034.61,37
1385628.0,600.0,7200.0,irr_7200s_cool_1385628s_count_600s,di-fom,38123808880023.07,38
1385628.0,900.0,3600.0,irr_3600s_cool_1385628s_count_900s,di-fom,28609056573309.344,39
1385628.0,600.0,3600.0,irr_3600s_cool_1385628s_count_600s,di-fom,19072704382206.23,40
1385628.0,300.0,7200.0,irr_7200s_cool_1385628s_count_300s,di-fom,19061904440011.535,41
1385628.0,900.0,1800.0,irr_1800s_cool_1385628s_count_900s,di-fom,14308586199817.244,42
1385628.0,600.0,1800.0,irr_1800s_cool_1385628s_count_600s,di-fom,9539057466544.828,43
1385628.0,300.0,3600.0,irr_3600s_cool_1385628s_count_300s,di-fom,9536352191103.115,44
1385628.0,300.0,1800.0,irr_1800s_cool_1385628s_count_300s,di-fom,4769528733272.414,45
