cooldown_time_s,count_time_s,graph_density,irradiation_time_s,label,masking_penalty,objective,objective_score,rank
0.0,900.0,0.0,7200.0,irr_7200s_cool_360s_count_900s,0.0,stbd-mr,4.574036564224454e+16,1
0.0,900.0,0.0,7200.0,irr_7200s_cool_9645s_count_900s,0.0,stbd-mr,4.2457231301737736e+16,2
0.0,900.0,0.0,7200.0,irr_7200s_cool_360s_count_600s,0.0,stbd-mr,3.0493577094829696e+16,3
0.0,900.0,0.0,7200.0,irr_7200s_cool_9645s_count_600s,0.0,stbd-mr,2.830482086782516e+16,4
0.0,900.0,0.0,3600.0,irr_3600s_cool_360s_count_900s,0.0,stbd-mr,2.320045955821125e+16,5
0.0,900.0,0.0,3600.0,irr_3600s_cool_9645s_count_900s,0.0,stbd-mr,2.1535063547604456e+16,6
0.0,900.0,0.0,7200.0,irr_7200s_cool_97565s_count_900s,0.0,stbd-mr,2.1012145423644236e+16,7
0.0,900.0,0.0,3600.0,irr_3600s_cool_360s_count_600s,0.0,stbd-mr,1.54669730388075e+16,8
0.0,900.0,0.0,7200.0,irr_7200s_cool_360s_count_300s,0.0,stbd-mr,1.5246788547414848e+16,9
0.0,900.0,0.0,3600.0,irr_3600s_cool_9645s_count_600s,0.0,stbd-mr,1.4356709031736304e+16,10
0.0,900.0,0.0,7200.0,irr_7200s_cool_9645s_count_300s,0.0,stbd-mr,1.415241043391258e+16,11
0.0,900.0,0.0,7200.0,irr_7200s_cool_97565s_count_600s,0.0,stbd-mr,1.4008096949096158e+16,12
0.0,900.0,0.0,1800.0,irr_1800s_cool_360s_count_900s,0.0,stbd-mr,1.1684001952505278e+16,13
0.0,900.0,0.0,1800.0,irr_1800s_cool_9645s_count_900s,0.0,stbd-mr,1.0845259927898742e+16,14
0.0,900.0,0.0,3600.0,irr_3600s_cool_97565s_count_900s,0.0,stbd-mr,1.0656886269211462e+16,15
0.0,900.0,0.0,1800.0,irr_1800s_cool_360s_count_600s,0.0,stbd-mr,7789334635003518.0,16
0.0,900.0,0.0,3600.0,irr_3600s_cool_360s_count_300s,0.0,stbd-mr,7733486519403750.0,17
0.0,900.0,0.0,1800.0,irr_1800s_cool_9645s_count_600s,0.0,stbd-mr,7230173285265828.0,18
0.0,900.0,0.0,3600.0,irr_3600s_cool_9645s_count_300s,0.0,stbd-mr,7178354515868152.0,19
0.0,900.0,0.0,3600.0,irr_3600s_cool_97565s_count_600s,0.0,stbd-mr,7104590846140973.0,20
0.0,900.0,0.0,7200.0,irr_7200s_cool_97565s_count_300s,0.0,stbd-mr,7004048474548079.0,21
0.0,900.0,0.0,1800.0,irr_1800s_cool_97565s_count_900s,0.0,stbd-mr,5366695724782488.0,22
0.0,900.0,0.0,1800.0,irr_1800s_cool_360s_count_300s,0.0,stbd-mr,3894667317501759.0,23
0.0,900.0,0.0,1800.0,irr_1800s_cool_9645s_count_300s,0.0,stbd-mr,3615086642632914.0,24
0.0,900.0,0.0,1800.0,irr_1800s_cool_97565s_count_600s,0.0,stbd-mr,3577797149854992.0,25
0.0,900.0,0.0,3600.0,irr_3600s_cool_97565s_count_300s,0.0,stbd-mr,3552295423070486.5,26
0.0,900.0,0.0,7200.0,irr_7200s_cool_346788s_count_900s,0.0,stbd-mr,3010414203166421.0,27
0.0,900.0,0.0,7200.0,irr_7200s_cool_346788s_count_600s,0.0,stbd-mr,2006942802110947.0,28
0.0,900.0,0.0,1800.0,irr_1800s_cool_97565s_count_300s,0.0,stbd-mr,1788898574927496.0,29
0.0,900.0,0.0,3600.0,irr_3600s_cool_346788s_count_900s,0.0,stbd-mr,1525457213762983.2,30
0.0,900.0,0.0,3600.0,irr_3600s_cool_346788s_count_600s,0.0,stbd-mr,1016971475841988.8,31
0.0,900.0,0.0,7200.0,irr_7200s_cool_346788s_count_300s,0.0,stbd-mr,1003471401055473.5,32
0.0,900.0,0.0,1800.0,irr_1800s_cool_346788s_count_900s,0.0,stbd-mr,767864701042416.8,33
0.0,900.0,0.0,1800.0,irr_1800s_cool_346788s_count_600s,0.0,stbd-mr,511909800694944.5,34
0.0,900.0,0.0,3600.0,irr_3600s_cool_346788s_count_300s,0.0,stbd-mr,508485737920994.4,35
0.0,900.0,0.0,1800.0,irr_1800s_cool_346788s_count_300s,0.0,stbd-mr,255954900347472.25,36
0.0,900.0,0.0,7200.0,irr_7200s_cool_1385628s_count_900s,0.0,stbd-mr,171083605129603.97,37
0.0,900.0,0.0,7200.0,irr_7200s_cool_1385628s_count_600s,0.0,stbd-mr,114055736753069.34,38
0.0,900.0,0.0,3600.0,irr_3600s_cool_1385628s_count_900s,0.0,stbd-mr,85589942485227.36,39
0.0,900.0,0.0,3600.0,irr_3600s_cool_1385628s_count_600s,0.0,stbd-mr,57059961656818.25,40
0.0,900.0,0.0,7200.0,irr_7200s_cool_1385628s_count_300s,0.0,stbd-mr,57027868376534.67,41
0.0,900.0,0.0,1800.0,irr_1800s_cool_1385628s_count_900s,0.0,stbd-mr,42807028739378.33,42
0.0,900.0,0.0,1800.0,irr_1800s_cool_1385628s_count_600s,0.0,stbd-mr,28538019159585.547,43
0.0,900.0,0.0,3600.0,irr_3600s_cool_1385628s_count_300s,0.0,stbd-mr,28529980828409.125,44
0.0,900.0,0.0,1800.0,irr_1800s_cool_1385628s_count_300s,0.0,stbd-mr,14269009579792.773,45
