sample_id,sample_group,reference_isotope,reference_energy_keV,reference_assignment,reference_net_counts,reference_net_unc,reference_gross_counts,reference_gross_unc,reference_line_activity_bq,reference_line_activity_unc_bq,reference_header_activity_bq,reference_header_activity_unc_bq,reference_rad_int_fraction,reference_implied_efficiency,matched,isotope_match,raw_isotope,raw_energy_keV,raw_net_counts,raw_net_unc,raw_gross_counts,raw_gross_unc,raw_background_adjusted_gross_counts,raw_background_counts,raw_significance,relative_count_error,count_en_score,relative_gross_error,gross_en_score,energy_delta_keV,raw_line_activity_bq,raw_line_activity_unc_bq,relative_line_activity_error,line_activity_en_score,raw_efficiency,efficiency_ratio_raw_over_qg_implied,raw_branching_ratio,raw_branching_ratio_uncertainty,branching_ratio_delta,diagnostic_bucket
RAFM4-A_15dEOI,RAFM4,Ta182,99.58,Ta182@100.1,289117.0,1844.0,733717.0,857.0,439967.0,2806.1274432150303,736966.0,32893.0,0.142,0.0012854721751022777,True,True,Ta182,99.7275651239,289117.0,1844.0,733717.0,857.0,915076.25,3348.168765557631,870.8667544251738,0.0,0.0,0.0,0.0,0.14756512390000864,439967.0,2806.127443215031,0.0,0.0,0.0008251912943852409,0.641936333098447,0.14116811764,0.0,-0.0008318823599999803,matched
RAFM4-A_15dEOI,RAFM4,Ta182,113.18,Ta182@113.7,30061.0,1676.0,457383.0,676.0,300736.0,16767.024916004124,736966.0,32893.0,0.0187,0.0014848203028494829,True,True,Ta182,113.17652803345752,30061.0,1676.0,457383.0,676.0,537038.25,38174.25,50.023109441181184,0.0,0.0,0.0,0.0,-0.0034719665424916,300736.0,16767.024916004124,0.0,0.0,0.0008931996560131393,0.6015540428016921,0.019375988928,0.0,0.0006759889279999987,matched
RAFM4-A_15dEOI,RAFM4,Ta182,152.1,Ta182@152.4,177439.0,2423.0,889199.0,943.0,430717.0,5881.611658090949,736966.0,32893.0,0.0701,0.0016324374491514812,True,True,Ta182,152.1891653744,177439.0,2423.0,889199.0,943.0,1063630.25,20427.539632473487,603.1924795064183,0.0,0.0,0.0,0.0,0.08916537440001093,430717.0,5881.611658090949,0.0,0.0,0.0009476059733596715,0.5804853189641197,0.07404402768,0.0,0.0039440276800000035,matched
RAFM4-A_15dEOI,RAFM4,Ta182,156.27,Ta182@156.4,62822.0,1069.0,332981.0,577.0,401154.0,6826.169590270925,736966.0,32893.0,0.026699999999999998,0.0016292467724580463,True,True,Ta182,156.23290834692054,62822.0,1069.0,332981.0,577.0,815085.75,71691.75,110.97767789741161,0.0,0.0,0.0,0.0,-0.0370916530794716,401154.0,6826.169590270924,0.0,0.0,0.00094825234446479,0.5820188571152796,0.026780391696,0.0,8.039169600000326e-05,matched
RAFM4-A_15dEOI,RAFM4,Ta182,179.53,Ta182@179.4,100464.0,1952.0,564193.0,751.0,566470.0,11006.424589902852,736966.0,32893.0,0.031200000000000002,0.0015789793712719903,True,True,Ta182,179.5331026420088,100464.0,1952.0,564193.0,751.0,593582.5,33006.5,100.83886997553026,0.0,0.0,0.0,0.0,0.0031026420087982842,566470.0,11006.42458990285,0.0,0.0,0.000939653975277611,0.5951021225316243,0.031486022836,0.0,0.00028602283599999875,matched
RAFM4-A_15dEOI,RAFM4,Ta182,198.59,Ta182@198.4,43742.0,1906.0,466044.0,683.0,544825.0,23740.0313200128,736966.0,32893.0,0.0147,0.0015171264261732368,True,True,Ta182,198.53174908260942,43742.0,1906.0,466044.0,683.0,463045.0,27809.125,58.7740974385864,0.0,0.0,0.0,0.0,-0.058250917390580526,544825.0,23740.031320012804,0.0,0.0,0.0009225104991314951,0.6080643532513064,0.01422059654,0.0,-0.00047940345999999967,matched
RAFM4-A_15dEOI,RAFM4,Ta182,222.33,Ta182@222.1,246766.0,1789.0,615834.0,785.0,626261.9999999999,4540.2637235275515,736966.0,32893.0,0.0757,0.0014458754391425805,True,True,Ta182,222.1402672384,246766.0,1789.0,615834.0,785.0,686686.5,20466.752631164036,332.9044866196829,0.0,0.0,0.0,0.0,-0.1897327615999984,626261.9999999999,4540.2637235275515,0.0,0.0,0.0008996274762029722,0.6222026129280271,0.07438984084,0.0,-0.0013101591600000045,matched
RAFM4-A_15dEOI,RAFM4,Ta182,229.55,Ta182@229.3,111046.0,1617.0,423848.0,651.0,594923.0,8662.990931685968,736966.0,32893.0,0.0364,0.0014244206980073637,True,True,Ta182,229.53720235644047,111046.0,1617.0,423848.0,651.0,440091.5,21531.5,143.22086048170084,0.0,0.0,0.0,0.0,-0.012797643559537164,594923.0,8662.990931685968,0.0,0.0,0.0008915387025146498,0.6258956386703958,0.03667599654,0.0,0.0002759965399999967,matched
RAFM4-A_15dEOI,RAFM4,Ta182,264.31,Ta182@264.1,111403.0,1365.0,330321.0,575.0,650423.0,7969.510650521081,736966.0,32893.0,0.0361,0.0013179268118467008,True,True,Ta182,264.1121909104,111403.0,1365.0,330321.0,575.0,375687.5,14763.799340980984,157.41867206351662,0.0,0.0,0.0,0.0,-0.19780908960001398,650423.0,7969.5106505210815,0.0,0.0,0.0008504562944468477,0.645298575612992,0.035084398616,0.0,-0.0010156013840000033,matched
RAFM4-A_15dEOI,RAFM4,Ta182,1001.71,Ta182@1001.7,28526.0,817.0,95769.0,309.0,844562.0,24188.710439598963,736966.0,32893.0,0.0209,0.00044891131694269396,True,True,Ta182,1001.7733514944,28526.0,817.0,95769.0,309.0,126817.25,3353.2334917886196,93.82916820379211,0.0,0.0,0.0,0.0,0.06335149439996712,844562.0,24188.710439598963,0.0,0.0,0.00038580621981962673,0.8594263616412171,0.02034479654,0.0,-0.0005552034599999971,matched
RAFM4-A_15dEOI,RAFM4,Ta182,1121.29,Ta182@1121.3,435142.0,952.0,482230.0,694.0,839789.0,1837.2832960275036,736966.0,32893.0,0.35240000000000005,0.0004084345018410169,True,True,Ta182,1121.2459885039002,435142.0,952.0,482230.0,694.0,501181.5,1385.1417021735087,631.7337236688654,0.0,0.0,0.0,0.0,-0.04401149609975619,839789.0,1837.2832960275036,0.0,0.0,0.00036328756704008595,0.8894634645275282,0.34600015224,0.0,-0.006399847760000021,matched
RAFM4-A_15dEOI,RAFM4,Ta182,1189.01,Ta182@1189.0,193839.0,682.0,219650.0,469.0,838050.0,2948.5815547954744,736966.0,32893.0,0.1649,0.0003896261290869301,True,True,Ta182,1189.2338400319002,193839.0,682.0,219650.0,469.0,228788.75,809.4392740029417,412.57876242871635,0.0,0.0,0.0,0.0,0.2238400319001812,838050.0,2948.5815547954744,0.0,0.0,0.00035330561921166875,0.9067811238420361,0.1613053038,0.0,-0.003594696199999997,matched
RAFM4-A_15dEOI,RAFM4,Ta182,1221.36,Ta182@1221.4,320722.0,843.0,356202.0,597.0,857253.0,2253.241994624628,736966.0,32893.0,0.2723,0.0003816538042918231,True,True,Ta182,1221.2289819839,320722.0,843.0,356202.0,597.0,369309.5,687.0010190565176,563.1412749629982,0.0,0.0,0.0,0.0,-0.13101801609991526,857253.0,2253.241994624628,0.0,0.0,0.0003492283342606576,0.9150395733868485,0.26849595156,0.0,-0.003804048439999985,matched
RAFM4-A_15dEOI,RAFM4,Ta182,1231.0,Ta182@1231.0,127088.0,695.0,157989.0,397.0,800754.0,4379.044677703639,736966.0,32893.0,0.1162,0.00037939953966689135,True,True,Ta182,1230.9355791686642,127088.0,695.0,157989.0,397.0,156900.0,1214.75,317.9925380471714,0.0,0.0,0.0,0.0,-0.06442083133583765,800754.0,4379.044677703639,0.0,0.0,0.0003480648267429211,0.917409723397446,0.11307273772,0.0,-0.003127262280000001,matched
RAFM4-A_15dEOI,RAFM4,Ta182,1257.34,Ta182@1257.4,17287.0,406.0,30097.0,173.0,852073.0,20011.66414068375,736966.0,32893.0,0.0151,0.0003732186864942886,True,True,Ta182,1257.312843536371,17287.0,406.0,30097.0,173.0,29910.75,615.25,87.58050314905418,0.0,0.0,0.0,0.0,-0.027156463628898564,852073.0,20011.66414068375,0.0,0.0,0.00034511117146134463,0.924688886033647,0.014704979932,0.0,-0.00039502006800000086,matched
RAFM4-A_15dEOI,RAFM4,Fe59,192.49,Fe59@192.3,34658.0,1812.0,440532.0,664.0,202797.0,10602.693865774136,334961.00000000006,27639.0,0.0308,0.0015413055916613661,True,True,Fe59,192.5344268020051,34658.0,1812.0,440532.0,664.0,468890.25,28861.625,37.13974617814065,0.0,0.0,0.0,0.0,0.044426802005091304,202797.0,10602.693865774136,0.0,0.0,0.0009285967156501216,0.6024741106980553,0.02918,0.0,-0.00162,matched
RAFM4-A_15dEOI,RAFM4,Fe59,1099.25,Fe59@1099.2,272114.0,832.0,316407.0,563.0,322196.0,985.1278214277839,334961.00000000006,27639.0,0.565,0.0004152214620871253,True,True,Fe59,1099.2162196586926,272114.0,832.0,316407.0,563.0,325321.5,2440.375,463.50415466185046,0.0,0.0,0.0,0.0,-0.0337803413074198,322196.0,985.1278214277839,0.0,0.0,0.0003669359798387172,0.8837114969787462,0.5659,0.0,0.0009000000000000119,matched
