reaction,measured_rate,predicted_rate,c_over_e
"Cu-63(n,g)Cu-64",1.483753253927306e-10,2.4145769360280883e-11,0.1627343987038957
"Co-59(n,g)Co-60",2.1067852637779068e-13,1.0911673550439475e-10,517.9300300815927
"Co-59(n,g)Co-60",1.6463274885815739e-12,1.0911673550439475e-10,66.27887602023
"In-115(n,n')In-115m",1.4238395313750975e-11,1.0993267460455845e-11,0.7720861247502314
"Ni-58(n,p)Co-58",2.4179699882213113e-13,1.5860055835655832e-12,6.559244288769144
"Sc-45(n,g)Sc-46",5.443269610992819e-12,6.589123649032429e-11,12.105084112911713
"Sc-45(n,g)Sc-46",2.1852468996402464e-10,6.589123649032429e-11,0.3015276511829023
"Ti-47(n,p)Sc-47",5.4139028982847206e-14,7.501656453947066e-13,13.856281863355557
"Ti-48(n,p)Sc-48",8.190998777521925e-14,1.6717134688363095e-14,0.204091529524323
"Ti-46(n,p)Sc-46",5.2376622182576526e-14,7.377729840856448e-14,1.4085921415739375
"Ti-47(n,p)Sc-47",5.6336073617438095e-14,7.501656453947066e-13,13.315902178218233
"Ti-48(n,p)Sc-48",8.405218235995961e-14,1.6717134688363095e-14,0.19888995406176066
"Ti-46(n,p)Sc-46",5.3679083362086025e-14,7.377729840856448e-14,1.3744142743814807
"Ti-47(n,p)Sc-47",5.636440661404165e-14,7.501656453947066e-13,13.309208602718144
"Ti-48(n,p)Sc-48",9.123774427021018e-14,1.6717134688363095e-14,0.18322608501645482
"Ti-46(n,p)Sc-46",5.23771472827087e-14,7.377729840856448e-14,1.408578019920543
