# GLS Continuous Unfolded Spectrum
E_low_eV,E_high_eV,Flux_n_cm2_s,Flux_unc
2.530000e-02,7.047190e-02,0.000000e+00,9.375113e+11
7.047190e-02,1.962960e-01,0.000000e+00,1.213253e+12
1.962960e-01,5.467729e-01,1.491018e+12,1.338532e+12
5.467729e-01,1.523009e+00,3.052868e+12,1.231926e+12
1.523009e+00,4.242266e+00,3.296066e+12,1.228083e+12
4.242266e+00,1.181662e+01,2.363030e+12,1.383714e+12
1.181662e+01,3.291462e+01,1.370406e+12,1.460772e+12
3.291462e+01,9.168205e+01,8.905853e+11,1.473173e+12
9.168205e+01,2.553758e+02,7.602659e+11,1.473923e+12
2.553758e+02,7.113368e+02,7.391825e+11,1.473941e+12
7.113368e+02,1.981393e+03,7.371020e+11,1.473941e+12
1.981393e+03,5.519074e+03,7.369715e+11,1.473941e+12
5.519074e+03,1.537311e+04,7.361267e+11,1.473940e+12
1.537311e+04,4.282103e+04,7.804389e+11,1.471951e+12
4.282103e+04,1.192759e+05,4.474520e+12,9.307226e+11
1.192759e+05,3.322371e+05,0.000000e+00,6.233470e+11
3.322371e+05,9.254300e+05,2.377746e+12,5.605646e+11
9.254300e+05,2.577740e+06,0.000000e+00,5.190557e+11
2.577740e+06,7.180167e+06,3.148808e+12,8.540835e+11
7.180167e+06,2.000000e+07,3.451563e+12,1.395640e+12
