Efficiencies for file,,,,C1,C2,C3,C4,A,T1,DI,DL,Error
N:\EffCalCurrent\South sm vl 0.5ml 25cm.ANH,,,,-20.2569,10.2872,-1.65505,0.0866563,0.00347696,1000,1.39,700,0.00458934

 
Energy, Efficiency, MuWin, MuGe 
40,-0.0151349,1.46495,32.2088
41,-0.000747552,32.2088,30.036
42,-0.000975748,30.036,28.0582
43,-0.00122868,28.0582,26.254
44,-0.00149664,26.254,24.6049
45,-0.00176717,24.6049,23.0947
46,-0.00202561,23.0947,21.709
47,-0.00225583,21.709,20.4353
48,-0.00244091,20.4353,19.2625
49,-0.00256386,19.2625,18.181
50,-0.00260827,18.181,17.1819
51,-0.00255883,17.1819,16.2577
52,-0.00240182,16.2577,15.4014
53,-0.00212533,15.4014,14.607
54,-0.00171954,14.607,13.8688
55,-0.00117677,13.8688,13.1822
56,-0.000491498,13.1822,12.5426
57,0.000339694,12.5426,11.9461
58,0.00131826,11.9461,11.3891
59,0.00244386,11.3891,10.8684
60,0.00371449,10.8684,10.3811
61,0.00512676,10.3811,9.92456
62,0.00667606,9.92456,9.49638
63,0.00835673,9.49638,9.09441
64,0.0101623,9.09441,8.71665
65,0.0120857,8.71665,8.36131
66,0.0141194,8.36131,8.02675
67,0.0162554,8.02675,7.71146
68,0.0184856,7.71146,7.41408
69,0.0208018,7.41408,7.13334
70,0.0231959,7.13334,6.8681
71,0.0256596,6.8681,6.61729
72,0.0281851,6.61729,6.37995
73,0.0307645,6.37995,6.15517
74,0.0333904,6.15517,5.94213
75,0.0360554,5.94213,5.74007
76,0.0387527,5.74007,5.54829
77,0.0414754,5.54829,5.36614
78,0.0442174,5.36614,5.19302
79,0.0469724,5.19302,5.02836
80,0.0497348,5.02836,4.87166
81,0.0524992,4.87166,4.72244
82,0.0552605,4.72244,4.58025
83,0.0580137,4.58025,4.44467
84,0.0607545,4.44467,4.31534
85,0.0634785,4.31534,4.19187
86,0.0661819,4.19187,4.07395
87,0.0688608,4.07395,3.96126
88,0.071512,3.96126,3.85351
89,0.0741321,3.85351,3.75043
90,0.0767184,3.75043,3.65177
91,0.079268,3.65177,3.55729
92,0.0817785,3.55729,3.46676
93,0.0842478,3.46676,3.37998
94,0.0866736,3.37998,3.29676
95,0.0890543,3.29676,3.2169
96,0.0913882,3.2169,3.14025
97,0.0936739,3.14025,3.06663
98,0.0959101,3.06663,2.9959
99,0.0980957,2.9959,2.92791
100,0.10023,2.92791,2.86253
101,0.102312,2.86253,2.79964
102,0.104341,2.79964,2.73911
103,0.106317,2.73911,2.68082
104,0.10824,2.68082,2.62469
105,0.110108,2.62469,2.57059
106,0.111923,2.57059,2.51845
107,0.113684,2.51845,2.46817
108,0.115392,2.46817,2.41967
109,0.117046,2.41967,2.37286
110,0.118648,2.37286,2.32768
111,0.120197,2.32768,2.28405
112,0.121693,2.28405,2.24189
113,0.123139,2.24189,2.20116
114,0.124534,2.20116,2.16178
115,0.125878,2.16178,2.1237
116,0.127173,2.1237,2.08687
117,0.12842,2.08687,2.05123
118,0.129619,2.05123,2.01673
119,0.130771,2.01673,1.98333
120,0.131878,1.98333,1.95098
121,0.132939,1.95098,1.91964
122,0.133956,1.91964,1.88926
123,0.134931,1.88926,1.85982
124,0.135863,1.85982,1.83127
125,0.136754,1.83127,1.80358
126,0.137605,1.80358,1.77671
127,0.138417,1.77671,1.75064
128,0.139191,1.75064,1.72532
129,0.139928,1.72532,1.70075
130,0.140628,1.70075,1.67687
131,0.141294,1.67687,1.65368
132,0.141926,1.65368,1.63115
133,0.142524,1.63115,1.60924
134,0.143091,1.60924,1.58794
135,0.143626,1.58794,1.56723
136,0.144131,1.56723,1.54708
137,0.144606,1.54708,1.52748
138,0.145054,1.52748,1.5084
139,0.145473,1.5084,1.48983
140,0.145866,1.48983,1.47175
141,0.146234,1.47175,1.45414
142,0.146576,1.45414,1.43699
143,0.146894,1.43699,1.42028
144,0.147189,1.42028,1.40399
145,0.147461,1.40399,1.38812
146,0.147712,1.38812,1.37264
147,0.147941,1.37264,1.35755
148,0.148151,1.35755,1.34283
149,0.14834,1.34283,1.32846
150,0.148511,1.32846,1.31445
151,0.148664,1.31445,1.30078
152,0.148799,1.30078,1.28743
153,0.148916,1.28743,1.27439
154,0.149018,1.27439,1.26166
155,0.149104,1.26166,1.24923
156,0.149175,1.24923,1.23709
157,0.149231,1.23709,1.22522
158,0.149273,1.22522,1.21362
